NI,摂取量(Nutrition-Intake)
NI-5.10.2,(9)硫酸塩摂取量過剰
NI-5.10.2,(10)フッ化物摂取量過剰
NI-5.10.2,(11)銅摂取量過剰
NI-5.10.2,(12)ヨウ素摂取量過剰
NI-5.10.2,(13)セレン摂取量過剰
NI-5.10.2,(14)マンガン摂取量過剰
NI-5.10.2,(15)クロム摂取量過剰
NI-5.10.2,(16)モリブデン摂取量過剰
NI-5.10.2,(17)ホウ素摂取量過剰
NI-5.10.2,(18)コバルト摂取量過剰
NI-5.10.2,(19)その他のミネラル摂取量過剰
NI-5.11,すべての栄養素
NI-5.11.1,最適量に満たない栄養素摂取量の予測(Predicted-suboptimal-nutrient-intake)-
NI-5.11.2,栄養素摂取量過剰の予測(Predicted-excessive-nutrient-intake)
NC,臨床栄養(Nutrition-Clinical)
NC-1,機能的項目
NC-1.1,嚥下障害(Swallowing-difficulty)
NC-1.2,噛み砕き・咀嚼障害(Biting/Chewing(masticatory)-difficulty)-
NC-1.3,授乳困難-(Breastfeeding-difficulty)-
NC-1.4,消化機能異常(Altered-GI-function)
NC-2,生化学的項目
NC-2.1,栄養素代謝異常(Impaired-nutrient-utilization)
NC-2.2,栄養関連の検査値異常(Altered-nutrition-related-laboratory-values)-
NC-2.3,食物・薬剤の相互作用(Food-medication-interaction)-
NC-2.4,食物・薬剤の相互作用の予測(Predicted-food-medication-interaction)
NC-3,体重
NC-3.1,低体重(Underweight)-
NC-3.2,意図しない体重減少(Unintended-weight-loss)-
NC-3.3,過体重・肥満(Overweight/Obesity)-
NC-3.4,意図しない体重増加(Unintended-weight-gain)
NB,行動と生活環境(Nutrition-Behavioral/environmental)
NB-1,知識と信念
NB-1.1,食物・栄養関連の知識不足(Food-and-nutrition-related-knowledge-deficit)-
NB-1.2,食物・栄養関連の話題に対する誤った信念(主義)や態度(使用上の注意)(Harmful-beliefs/attitudes-about-food-or-nutrition-related-topics-(use-with-caution)-
NB-1.3,食事・ライフスタイル改善への心理的準備不足(Not-ready-for-diet/lifestyle-change)-
NB-1.4,セルフモニタリングの欠如(Self-monitoring-deficit)-
NB-1.5,不規則な食事パターン(摂食障害:過食・拒食)(Disordered-eating-pattern)-
NB-1.6,栄養関連の提言に対する遵守の限界(Limited-adherence-to-nutrition-related-recommendations)-
NB-1.7,不適切な食物選択(Undesirable-food-choices)
NB-2,身体の活動と機能
NB-2.1,身体活動不足(Physical-inactivity)-
NB-2.2,身体活動過多(Excessive-physical-activity)-
NB-2.3,セルフケアの管理能力や熱意の不足(Inability-or-lack-of-desire-to-manage-self-care)-
NB-2.4,食物や食事を準備する能力の障害(Impaired-ability-to-prepare-foods/meals)-
NB-2.5,栄養不良における生活の質(QOL)-(Poor-nutrition-quality-of-life)-
NB-2.6,自発的摂食困難(Self-feeding-difficulty)
NB-3,食の安全と入手
NB-3.1,安全でない食物の摂取(Intake-of-unsafe-food)-
NB-3.2,食物や水の供給の制約(Limited-access-to-food-or-water)-
NB-3.3,栄養関連用品の入手困難(Limited-access-to-nutrition-related-supplies)
NO,その他の栄養(Nutrition-Other)
NO-1,その他の栄養
NO-1.1,現時点では栄養問題なし(No-nutrition-diagnosis-at-this-time)
,
,
,
